"Time (ms)";"Recording (a.u.)"
4.527879844E2;-2.496414075E-2
4.528088185E2;-2.328562273E-2
4.528296526E2;-2.099673452E-2
4.528504868E2;-1.858577227E-2
4.528713209E2;-1.593066195E-2
4.528921550E2;-1.297036653E-2
4.529129891E2;-1.001007111E-2
4.529338233E2;-7.263405255E-3
4.529546574E2;-5.035554064E-3
4.529754915E2;-3.204443495E-3
4.529963256E2;-1.709036531E-3
4.530171597E2;-6.408886990E-4
4.530379939E2;-1.525925474E-4
4.530588280E2;1.220740379E-4
4.530796621E2;3.662221137E-4
4.531004962E2;4.577776421E-4
4.531213304E2;6.714072085E-4
4.531421645E2;1.129184851E-3
4.531629986E2;1.495406964E-3
4.531838327E2;2.044740135E-3
4.532046668E2;2.533036287E-3
4.532255010E2;3.021332438E-3
4.532463351E2;3.784295175E-3
4.532671692E2;5.005035554E-3
4.532880033E2;6.927701651E-3
4.533088375E2;8.850367748E-3
4.533296716E2;1.092562639E-2
4.533505057E2;1.293984802E-2
4.533713398E2;1.480147710E-2
4.533921739E2;1.654103214E-2
4.534130081E2;1.776177252E-2
4.534338422E2;1.916562395E-2
4.534546763E2;2.038636433E-2
4.534755104E2;2.133243812E-2
4.534963446E2;2.218695639E-2
4.535171787E2;2.243110446E-2
4.535380128E2;2.255317850E-2
4.535588469E2;2.258369701E-2
4.535796810E2;2.261421552E-2
4.536005152E2;2.221747490E-2
4.536213493E2;2.157658620E-2
4.536421834E2;2.078310495E-2
4.536630175E2;1.977599414E-2
4.536838517E2;1.825006867E-2
4.537046858E2;1.657155065E-2
4.537255199E2;1.547288430E-2
4.537463540E2;1.480147710E-2
4.537671882E2;1.440473647E-2
4.537880223E2;1.437421796E-2
4.538088564E2;1.489303262E-2
4.538296905E2;1.550340281E-2
4.538505246E2;1.611377300E-2
4.538713588E2;1.647999512E-2
4.538921929E2;1.669362468E-2
4.539130270E2;1.687673574E-2
4.539338611E2;1.647999512E-2
4.539546953E2;1.590014344E-2
4.539755294E2;1.507614368E-2
4.539963635E2;1.431318094E-2
4.540171976E2;1.376384777E-2
4.540380317E2;1.278725547E-2
4.540588659E2;1.205481124E-2
4.540797000E2;1.113925596E-2
4.541005341E2;9.430219428E-3
4.541213682E2;7.110812708E-3
4.541422024E2;4.058961760E-3
4.541630365E2;4.577776421E-4
4.541838706E2;-3.387554552E-3
4.542047047E2;-7.477034822E-3
4.542255388E2;-1.104770043E-2
4.542463730E2;-1.394695883E-2
4.542672071E2;-1.623584704E-2
4.542880412E2;-1.721243934E-2
4.543088753E2;-1.757866146E-2
4.543297095E2;-1.715140233E-2
4.543505436E2;-1.654103214E-2
4.543713777E2;-1.620532853E-2
4.543922118E2;-1.651051363E-2
4.544130459E2;-1.742606891E-2
4.544338801E2;-1.922666097E-2
4.544547142E2;-2.151554918E-2
4.544755483E2;-2.352977081E-2
4.544963824E2;-2.542191839E-2
4.545172166E2;-2.682576983E-2
4.545380507E2;-2.783288064E-2
4.545588848E2;-2.853480636E-2
4.545797189E2;-2.914517655E-2
4.546005531E2;-3.036591693E-2
4.546213872E2;-3.210547197E-2
4.546422213E2;-3.433332316E-2
4.546630554E2;-3.689687796E-2
4.546838895E2;-3.918576617E-2
4.547047237E2;-4.156620991E-2
4.547255578E2;-4.348887600E-2
4.547463919E2;-4.486220893E-2
4.547672260E2;-4.544206061E-2
4.547880602E2;-4.452650533E-2
4.548088943E2;-4.278695029E-2
4.548297284E2;-3.994872890E-2
4.548505625E2;-3.656117435E-2
4.548713966E2;-3.317361980E-2
4.548922308E2;-3.021332438E-2
4.549130649E2;-2.813806574E-2
4.549338990E2;-2.658162175E-2
4.549547331E2;-2.584917753E-2
4.549755673E2;-2.542191839E-2
4.549964014E2;-2.493362224E-2
4.550172355E2;-2.389599292E-2
4.550380696E2;-2.221747490E-2
4.550589037E2;-2.023377178E-2
4.550797379E2;-1.825006867E-2
4.551005720E2;-1.620532853E-2
4.551214061E2;-1.461836604E-2
4.551422402E2;-1.345866268E-2
4.551630744E2;-1.281777398E-2
4.551839085E2;-1.269569994E-2
4.552047426E2;-1.223792230E-2
4.552255767E2;-1.141392254E-2
4.552464108E2;-1.028473769E-2
4.552672450E2;-8.728293710E-3
4.552880791E2;-6.530961028E-3
4.553089132E2;-3.875850703E-3
4.553297473E2;-1.495406964E-3
4.553505815E2;8.850367748E-4
4.553714156E2;3.051850948E-3
4.553922497E2;5.493331706E-3
4.554130838E2;7.477034822E-3
4.554339180E2;9.033478805E-3
4.554547521E2;1.068147832E-2
4.554755862E2;1.190221870E-2
4.554964203E2;1.290932951E-2
4.555172544E2;1.388592181E-2
4.555380886E2;1.550340281E-2
4.555589227E2;1.745658742E-2
4.555797568E2;1.950132756E-2
4.556005909E2;2.218695639E-2
4.556214251E2;2.462843715E-2
4.556422592E2;2.734458449E-2
4.556630933E2;2.990813929E-2
4.556839274E2;3.207495346E-2
4.557047615E2;3.427228614E-2
4.557255957E2;3.592028565E-2
4.557464298E2;3.756828516E-2
4.557672639E2;3.885006256E-2
4.557880980E2;3.979613636E-2
4.558089322E2;4.086428419E-2
4.558297663E2;4.138309885E-2
4.558506004E2;4.187139500E-2
4.558714345E2;4.242072817E-2
4.558922686E2;4.287850581E-2
4.559131028E2;4.297006134E-2
4.559339369E2;4.312265389E-2
4.559547710E2;4.358043153E-2
4.559756051E2;4.376354259E-2
4.559964393E2;4.452650533E-2
4.560172734E2;4.492324595E-2
4.560381075E2;4.574724570E-2
4.560589416E2;4.684591205E-2
4.560797757E2;4.773094882E-2
4.561006099E2;4.882961516E-2
4.561214440E2;4.937894833E-2
4.561422781E2;4.950102237E-2
4.561631122E2;4.898220771E-2
4.561839464E2;4.751731925E-2
4.562047805E2;4.586931974E-2
4.562256146E2;4.376354259E-2
4.562464487E2;4.159672842E-2
4.562672829E2;3.885006256E-2
4.562881170E2;3.585924863E-2
4.563089511E2;3.259376812E-2
4.563297852E2;2.899258400E-2
4.563506193E2;2.520828883E-2
4.563714535E2;2.175969726E-2
4.563922876E2;1.889095737E-2
4.564131217E2;1.690725425E-2
4.564339558E2;1.565599536E-2
4.564547900E2;1.519821772E-2
4.564756241E2;1.504562517E-2
4.564964582E2;1.519821772E-2
4.565172923E2;1.519821772E-2
4.565381264E2;1.528977325E-2
4.565589606E2;1.516769921E-2
4.565797947E2;1.461836604E-2
4.566006288E2;1.376384777E-2
4.566214629E2;1.187170019E-2
4.566422971E2;9.613330485E-3
4.566631312E2;6.347849971E-3
4.566839653E2;2.319406720E-3
4.567047994E2;-1.953184606E-3
4.567256335E2;-6.317331462E-3
4.567464677E2;-1.049836726E-2
4.567673018E2;-1.486251411E-2
4.567881359E2;-1.892147588E-2
4.568089700E2;-2.301095614E-2
4.568298042E2;-2.688680685E-2
4.568506383E2;-3.018280587E-2
4.568714724E2;-3.295999023E-2
4.568923065E2;-3.442487869E-2
4.569131406E2;-3.488265633E-2
4.569339748E2;-3.424176763E-2
4.569548089E2;-3.280739769E-2
4.569756430E2;-3.146458327E-2
4.569964771E2;-3.030487991E-2
4.570173113E2;-2.960295419E-2
4.570381454E2;-2.978606525E-2
4.570589795E2;-3.042695395E-2
4.570798136E2;-3.192236091E-2
4.571006478E2;-3.381450850E-2
4.571214819E2;-3.659169286E-2
4.571423160E2;-3.964354381E-2
4.571631501E2;-4.303109836E-2
